[2019-10-29 14:51:51] | INFO [django.server:154] | "GET /merlinservices/projects/ HTTP/1.1" 200 138797
[2019-10-29 14:51:52] | INFO [django.server:154] | "GET /merlinservices/processings/ HTTP/1.1" 200 177
[2019-10-29 14:51:54] | INFO [django.server:154] | "GET /merlinservices/analyses/ HTTP/1.1" 200 4250
[2019-10-29 14:51:55] | INFO [django.server:154] | "GET /merlinservices/constituents/ HTTP/1.1" 200 5615
[2019-10-29 14:51:56] | INFO [django.server:154] | "GET /merlinservices/mediums/ HTTP/1.1" 200 3319
[2019-10-29 14:51:57] | INFO [django.server:154] | "GET /merlinservices/filters/ HTTP/1.1" 200 1640
[2019-10-29 14:51:59] | INFO [django.server:154] | "GET /merlinservices/preservations/ HTTP/1.1" 200 260
[2019-10-29 14:52:00] | INFO [django.server:154] | "GET /merlinservices/isotopeflags/ HTTP/1.1" 200 393
[2019-10-29 14:52:00] | INFO [django.server:154] | "GET /merlin/samples_search/ HTTP/1.1" 200 303329
[2019-10-29 14:52:00] | WARNING [django.server:154] | "GET /static/css/bootstrap-theme.min.css.map HTTP/1.1" 404 1717
[2019-10-29 14:52:00] | WARNING [django.server:154] | "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1699
[2019-10-29 14:52:06] | INFO [django.server:154] | "GET /static/css/select2-spinner.gif HTTP/1.1" 200 1849
[2019-10-29 14:52:07] | INFO [django.server:154] | "GET /merlinservices/bottles/?bottle_unique_name=MLO767UB&_=1572378720279 HTTP/1.1" 200 214
[2019-10-29 14:52:08] | INFO [django.server:154] | "GET /static/css/select2.png HTTP/1.1" 200 613
[2019-10-29 14:52:10] | INFO [django.server:154] | "GET /merlinservices/fullresults/?bottle=459063 HTTP/1.1" 200 4465
[2019-10-29 14:52:10] | INFO [merlin.views:504] | GET http://localhost:8000/merlinservices/fullresults/?bottle=459063  OK 200
[2019-10-29 14:52:10] | INFO [merlin.views:512] | search results count: 2
[2019-10-29 14:52:10] | INFO [django.server:154] | "POST /merlin/samples_search/ HTTP/1.1" 200 4807
[2019-10-29 14:54:19] | INFO [django.utils.autoreload:597] | Watching for file changes with StatReloader
[2019-10-29 14:54:32] | INFO [django.server:154] | "GET /merlinservices/projects/ HTTP/1.1" 200 138797
[2019-10-29 14:54:34] | INFO [django.server:154] | "GET /merlinservices/processings/ HTTP/1.1" 200 177
[2019-10-29 14:54:35] | INFO [django.server:154] | "GET /merlinservices/analyses/ HTTP/1.1" 200 4250
[2019-10-29 14:54:36] | INFO [django.server:154] | "GET /merlinservices/constituents/ HTTP/1.1" 200 5615
[2019-10-29 14:54:38] | INFO [django.server:154] | "GET /merlinservices/mediums/ HTTP/1.1" 200 3319
[2019-10-29 14:54:39] | INFO [django.server:154] | "GET /merlinservices/filters/ HTTP/1.1" 200 1640
[2019-10-29 14:54:40] | INFO [django.server:154] | "GET /merlinservices/preservations/ HTTP/1.1" 200 260
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /merlinservices/isotopeflags/ HTTP/1.1" 200 393
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /merlin/samples_search/ HTTP/1.1" 200 303331
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /static/css/bootstrap.min.css HTTP/1.1" 200 121265
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /static/css/bootstrap-theme.min.css HTTP/1.1" 200 23414
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /static/css/dashboard.css HTTP/1.1" 200 1629
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /static/css/simple-sidebar.css HTTP/1.1" 200 2275
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /static/css/handsontable.full.css HTTP/1.1" 200 33634
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /static/css/jquery-ui.min.css HTTP/1.1" 200 20217
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /static/css/pikaday.css HTTP/1.1" 200 4482
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /static/css/select2.css HTTP/1.1" 200 19915
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /static/css/merlin.css HTTP/1.1" 200 852
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /static/js/jquery-2.2.4.min.js HTTP/1.1" 200 85582
[2019-10-29 14:54:41] | INFO [django.server:154] | "GET /static/js/jquery-ui.min.js HTTP/1.1" 200 78165
[2019-10-29 14:54:42] | INFO [django.server:154] | "GET /static/js/jquery.cookie.js HTTP/1.1" 200 3238
[2019-10-29 14:54:42] | INFO [django.server:154] | "GET /static/js/bootstrap.min.js HTTP/1.1" 200 36874
[2019-10-29 14:54:42] | INFO [django.server:154] | "GET /static/js/handsontable.full.js HTTP/1.1" 200 1801312
[2019-10-29 14:54:42] | INFO [django.server:154] | "GET /static/js/select2.min.js HTTP/1.1" 200 70164
[2019-10-29 14:54:42] | INFO [django.server:154] | "GET /static/js/moment.js HTTP/1.1" 200 136078
[2019-10-29 14:54:42] | WARNING [django.server:154] | "GET /static/css/bootstrap.min.css.map HTTP/1.1" 404 1699
[2019-10-29 14:54:42] | INFO [django.server:154] | "GET /static/js/pikaday.js HTTP/1.1" 200 39874
[2019-10-29 14:54:42] | INFO [django.server:154] | "GET /static/js/merlin.js HTTP/1.1" 200 8749
[2019-10-29 14:54:42] | WARNING [django.server:154] | "GET /static/css/bootstrap-theme.min.css.map HTTP/1.1" 404 1717
[2019-10-29 14:54:42] | INFO [django.server:154] | "GET /static/img/loading.gif HTTP/1.1" 200 1915
[2019-10-29 14:54:42] | INFO [django.server:154] | "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
[2019-10-29 14:54:42] | INFO [django.server:154] | "GET /static/img/favicon.ico HTTP/1.1" 200 18850
[2019-10-29 14:55:40] | INFO [django.server:154] | "GET /static/css/select2-spinner.gif HTTP/1.1" 200 1849
[2019-10-29 14:55:41] | INFO [django.server:154] | "GET /merlinservices/bottles/?bottle_unique_name=ML07&_=1572378882000 HTTP/1.1" 200 52
[2019-10-29 14:55:42] | INFO [django.server:154] | "GET /merlinservices/bottles/?bottle_unique_name=ML076&_=1572378882001 HTTP/1.1" 200 52
[2019-10-29 14:55:42] | INFO [django.server:154] | "GET /merlinservices/bottles/?bottle_unique_name=ML0767&_=1572378882002 HTTP/1.1" 200 52
[2019-10-29 14:55:45] | INFO [django.server:154] | "GET /merlinservices/bottles/?bottle_unique_name=ML767&_=1572378882003 HTTP/1.1" 200 52
[2019-10-29 14:55:46] | INFO [django.server:154] | "GET /merlinservices/bottles/?bottle_unique_name=MLO767&_=1572378882004 HTTP/1.1" 200 3328
[2019-10-29 14:55:53] | INFO [django.server:154] | "GET /merlinservices/bottles/?bottle_unique_name=MLO767UB&_=1572378882005 HTTP/1.1" 200 214
[2019-10-29 14:55:54] | INFO [django.server:154] | "GET /static/css/select2.png HTTP/1.1" 200 613
[2019-10-29 14:55:56] | INFO [django.server:154] | "GET /merlinservices/fullresults/?bottle=459063 HTTP/1.1" 200 4465
[2019-10-29 14:55:56] | INFO [merlin.views:504] | GET http://localhost:8000/merlinservices/fullresults/?bottle=459063  OK 200
[2019-10-29 14:55:56] | INFO [merlin.views:512] | search results count: 2
[2019-10-29 14:55:56] | INFO [django.server:154] | "POST /merlin/samples_search/ HTTP/1.1" 200 4807
